지역명,도로명,차선,최고속도
영등포구,영등포로2길,1,60
서대문구,성산로,1,10
서대문구,모래내로,1,40
강서구,화곡로58길,1,30
강서구,양천로65길,1,50
용산구,이촌로,2,50
종로구,내부순환도로,3,50
광진구,강변북로,2,50
송파구,연화로,3,30
영등포구,여의동로,1,40
서대문구,신촌로33길,1,30
금천구,강남순환도시고속도로,3,80
서대문구,증가로,2,50
마포구,만리재옛길,1,30
중구,동호로,4,50
강동구,천중로,2,30
동작구,상도로,2,50
동대문구,망우로,2,50
노원구,덕릉로83길,1,30
서대문구,성산로,1,40
강서구,양천로67길,1,30
마포구,상암산로,1,30
노원구,공릉로55길,2,30
강서구,곰달래로35길,1,30
강서구,방화대로34길,1,30
양천구,은행정로,1,30
광진구,강변북로,3,80
중랑구,중랑천로,1,30
용산구,한강대로,4,50
강남구,개포로110길,1,30
강동구,천호대로175길,1,30
노원구,한글비석로,3,50
강남구,언주로,4,60
영등포구,여의나루로4길,1,30
광진구,강변북로,1,40
구로구,구일로,2,50
용산구,청파로,3,50
중구,소공로,4,50
강동구,풍성로,1,40
구로구,구로중앙로31길,1,50
중랑구,신내로18길,1,30
서초구,강남순환도시고속도로,3,80
송파구,올림픽대로,1,40
구로구,가마산로,3,50
구로구,부일로,2,50
영등포구,당산로54길,2,50
마포구,마포대로,1,30
노원구,동일로198길,1,30
은평구,서오릉로,3,50
은평구,갈현로23길,1,30
구로구,개봉로,1,50
구로구,디지털로27가길,1,30
구로구,디지털로,2,50
양천구,곰달래로14길,1,30
구로구,경인로31길,1,10
강서구,개화동로20길,2,60
강동구,동남로,2,50
마포구,강변북로,1,40
강서구,화곡로63가길,1,30
구로구,서부간선도로,3,80
서초구,올림픽대로,1,60
강남구,밤고개로,4,50
송파구,중대로,3,50
노원구,동일로,3,50
용산구,청파로,1,50
관악구,인헌16길,1,30
중랑구,동일로,2,50
서초구,신반포로,1,30
강남구,올림픽대로,1,50
용산구,효창원로,1,30
동대문구,경동시장로,1,40
송파구,수도권제1순환고속도로,1,30
송파구,성내천로,1,30
영등포구,서부간선도로,1,20
강서구,화곡로63길,1,30
강서구,강서로56나길,1,30
마포구,굴레방로,1,30
종로구,동순라길,1,30
강남구,도산대로94길,1,30
강동구,동남로,3,50
성북구,고려대로7길,1,30
강남구,일원로3길,1,30
강서구,금낭화로,2,30
강남구,논현로,2,50
서대문구,신촌로,4,50
서대문구,모래내로,2,50
서대문구,응암로,2,60
서대문구,경기대로,1,30
서초구,잠원로,2,60
구로구,신도림로11라길,1,30
강서구,공항대로,3,50
마포구,새창로,1,30
동대문구,휘경로2길,1,10
양천구,화곡로4길,1,30
양천구,신월로,1,50
서초구,반포대로4길,1,40
송파구,송이로,2,50
용산구,백범로90가길,1,40
강북구,월계로,1,30
노원구,덕릉로,1,30
금천구,가산디지털1로,1,40
금천구,시흥대로,5,60
성북구,화랑로14길,1,30
노원구,수락산로,1,30
금천구,가산디지털1로,1,40
동대문구,약령중앙로,1,30
서초구,서초중앙로,3,50
노원구,동일로,3,50
강남구,동부간선도로,3,80
성동구,무학로,2,50
노원구,화랑로51나길,1,30
중구,퇴계로,3,50
구로구,디지털로,3,50
강남구,압구정로,3,50
강서구,오정로,1,40
용산구,녹사평대로,3,50
중구,통일로,3,50
동작구,노량진로23길,2,60
강남구,양재대로,3,60
강동구,올림픽로,3,50
성북구,종암로,4,50
동작구,등용로,1,40
종로구,내부순환도로,3,50
마포구,동교로,2,50
강서구,김포대로,2,60
구로구,안양천로,2,50
용산구,강변북로,4,80
용산구,이촌로,2,30
용산구,청파로,3,50
성북구,고려대로13길,1,30
광진구,광나루로,3,50
종로구,송월길,1,30
동대문구,천호대로47길,1,30
성동구,왕십리광장로,2,30
광진구,능동로,2,50
송파구,올림픽대로,4,80
마포구,월드컵북로,2,50
강남구,도곡로,3,60
관악구,난곡로,3,40
종로구,종로12길,1,30
관악구,대학길,1,50
노원구,광운로12길,1,30
강서구,우장산로,1,30
강서구,오정로,2,50
강남구,일원로,2,60
양천구,월정로,1,30
서초구,서초대로74길,2,30
광진구,구의로,1,40
노원구,덕릉로,2,50
노원구,한글비석로,1,30
서대문구,응암로,2,60
동대문구,한천로58길,2,40
동대문구,휘경로,2,40
노원구,노원로,3,50
강서구,강서로47길,2,30
서초구,서초중앙로,3,50
강동구,상일로12길,2,30
서대문구,통일로,3,50
동대문구,천호대로,2,60
종로구,청와대로,2,40
강남구,학동로60길,1,30
강남구,선릉로132길,1,30
광진구,강변북로,4,80
마포구,상암산로,2,50
영등포구,신길로42가길,1,30
용산구,한강대로,4,50
성동구,뚝섬로,1,50
강서구,수명로.남부순환로17길,1,40
서초구,동광로,1,30
종로구,율곡로,3,50
노원구,노원로26길,1,30
은평구,연서로,3,50
강서구,곰달래로49길,1,10
중랑구,망우로60길,1,30
마포구,월드컵북로30길,1,30
도봉구,노해로63가길,1,30
노원구,공릉로,2,30
노원구,한글비석로,3,50
구로구,천왕로3길,1,50
강서구,가로공원로76길,1,30
송파구,오금로27길,1,30
관악구,관천로,1,50
성동구,뚝섬로,3,60
광진구,워커힐로,1,40
광진구,능동로32길,1,50
서대문구,모래내로15길,2,30
강남구,선릉로,2,50
강동구,올림픽로91길,1,10
성북구,한신한진아파트내부길부도로,1,10
노원구,한글비석로48길,1,10
은평구,통일로,3,50
송파구,올림픽로8길,1,30
강동구,양재대로,3,50
금천구,독산로54길,1,10
강남구,논현로,3,50
마포구,하늘공원로.인접길,1,30
마포구,광성로,1,30
용산구,이촌로,2,50
성북구,안암로,2,50
노원구,공릉로59길,1,30
강동구,성내로,2,50
관악구,신림로,3,50
관악구,보라매로,2,50
관악구,신림로,2,50
영등포구,노들로,1,50
서초구,강남대로,4,50
강남구,테헤란로114길,1,30
성북구,보문로,2,50
강동구,고덕로61길,2,40
영등포구,올림픽대로,1,40
영등포구,노들로,1,30
동대문구,장안벚꽃로,2,50
관악구,호암로,2,40
용산구,소월로3길,1,50
마포구,양화로19길,1,10
마포구,월드컵북로56길,2,40
강서구,강서로80길,1,10
중랑구,망우로55길,1,30
용산구,이태원로,2,50
마포구,홍익로,2,30
성동구,금호로,1,30
노원구,한글비석로,1,30
서초구,과천대로,4,50
강서구,남부순환로17길,1,30
송파구,충민로,3,50
서초구,형촌길,1,10
강남구,학동로56길,1,30
강동구,명일로,1,40
강남구,밤고개로,1,60
마포구,월드컵로25길,1,30
중구,중림로,1,30
종로구,창의문로,1,40
은평구,응암로12길,1,10
중랑구,용마산로,2,50
광진구,뚝섬로34길,1,40
동작구,사당로23나길,2,30
은평구,역말로,2,30
마포구,독막로,2,50
구로구,중앙로3길,1,30
노원구,섬밭로,2,30
마포구,방울내로7길,1,30
중랑구,망우로52길,2,30
광진구,천호대로,5,50
종로구,진흥로,3,50
성동구,독서당로,2,50
송파구,탄천동로,1,40
강남구,학동로60길,1,30
강남구,학동로46길,1,30
송파구,오금로,3,50
용산구,강변북로,1,20
구로구,부일로9길,1,30
마포구,마포대로,5,60
동대문구,사가정로,1,40
중구,을지로45길,2,30
중구,퇴계로,2,50
구로구,도림로,2,50
마포구,월드컵로42길,1,30
영등포구,올림픽대로,2,80
노원구,수도권제1순환고속도로,4,100
강서구,공항대로,1,60
은평구,불광로,2,30
은평구,백련산로,1,40
서대문구,연희로,2,50
서대문구,수색로6길,1,40
송파구,올림픽대로,1,40
송파구,올림픽로,3,50
중랑구,양원역로,1,30
중랑구,상봉로,2,50
강남구,올림픽대로,1,40
강서구,강서로56가길,1,30
양천구,목동동로,2,30
용산구,강변북로,2,50
영등포구,버드나루로,2,50
동작구,올림픽대로,2,40
서초구,효령로,3,50
강북구,SK북한산시티아파트내부길,1,10
강북구,오현로34길,1,10
동작구,상도로,1,50
강남구,밤고개로,4,70
관악구,난곡로,3,50
강동구,진황도로,1,40
강서구,남부순환로19길,1,30
도봉구,도봉로,4,50
강남구,언주로93길,1,30
강남구,학동로6길,1,30
서초구,법원로.서초중앙로사이길,2,30
서초구,양재대로,5,50
동작구,노들로,2,50
서초구,양재대로12길,1,50
송파구,송이로,1,60
관악구,은천로25가길,1,50
노원구,동일로198가길,1,30
서대문구,모래내로,2,50
강서구,올림픽대로,2,60
동대문구,장한로,3,60
마포구,월드컵북로6길,1,30
강서구,등촌로,3,50
양천구,월정로25길,1,30
용산구,강변북로,4,80
중랑구,신내로,2,50
중랑구,신내로17길,2,30
영등포구,가마산로,2,50
영등포구,올림픽대로,5,80
도봉구,마들로,2,60
동대문구,천호대로,4,60
성북구,동소문로,1,30
성북구,삼양로,2,50
마포구,마포대로,4,60
강서구,양천로26길,1,10
서대문구,불광천길,1,30
노원구,덕릉로79길,1,30
노원구,한글비석로19길,1,30
금천구,범안로,3,50
강동구,천호대로,4,60
노원구,월계로,2,50
중랑구,면목로,2,50
종로구,비봉길,1,30
강남구,자곡로3길,1,50
양천구,곰달래로5길,1,30
성동구,청계천로,1,30
강남구,논현로189길,1,30
광진구,구의강변로,2,30
양천구,오목로,3,50
서초구,동광로12길,1,50
용산구,녹사평대로,2,50
동대문구,사가정로,2,60
동대문구,이문로,2,50
용산구,청파로,2,50
동대문구,한천로58길.인접길,2,30
마포구,양화로,4,50
양천구,신월로,3,50
강남구,밤고개로21길,1,30
관악구,난곡로.인접길,1,30
마포구,동교로,2,50
송파구,올림픽로35길,2,30
구로구,구로중앙로37길,1,30
강남구,개포로,2,60
노원구,섬밭로,1,40
노원구,공릉로,2,40
마포구,토정로,2,50
마포구,하늘공원로,1,30
강남구,언주로,3,60
성북구,북악산로1길,1,30
강북구,삼양로77길,1,30
서초구,효령로67길,1,30
노원구,노원로26길,1,40
강서구,화곡로,2,50
용산구,이촌로,2,50
성동구,동일로,3,50
영등포구,문래북로,1,40
용산구,이촌로65길,1,30
용산구,회나무로44길,1,30
영등포구,여의대방로47길,1,30
광진구,구천면로,1,50
강남구,학동로33길,1,30
도봉구,노해로,1,60
강서구,강서로56가길,1,30
양천구,목동중앙남로,1,30
영등포구,도림로54길,1,30
서초구,잠원로4길,1,30
강남구,자곡로,2,30
은평구,은평로8길,1,30
도봉구,노해로,1,30
금천구,가산로,1,40
강북구,오패산로,1,30
광진구,동일로,3,50
광진구,구의강변로,2,30
구로구,고척로52길,1,30
송파구,올림픽선수촌아파트내부길,1,10
강북구,SK북한산시티아파트내부길,1,10
용산구,강변북로,2,50
영등포구,노들로,2,50
서대문구,백련사길,1,30
서대문구,불광천길,1,40
강남구,언주로,3,60
성북구,동소문로,3,50
종로구,세종대로,5,50
강남구,영동대로3길,1,30
강남구,밤고개로,4,70
양천구,목동동로1길,1,30
종로구,율곡로,3,50
용산구,강변북로,1,40
강서구,마곡서1로,1,30
서초구,고무래로,1,40
구로구,새말로,2,50
강남구,압구정로,3,50
서대문구,서소문로,3,50
동대문구,사가정로,2,40
강서구,하늘길,5,60
송파구,송파대로,2,50
노원구,동일로230길,1,10
노원구,노해로,3,50
강남구,삼성로,3,60
영등포구,가마산로,3,50
영등포구,선유로3길,1,50
강서구,방화대로34길,1,30
마포구,마포대로20길,1,30
송파구,올림픽로35다길,2,30
동작구,사당로2라길,1,30
종로구,율곡로,3,50
용산구,양녕로,4,50
서초구,신반포로19길,1,30
서대문구,연희로,2,50
중랑구,신내로,3,50
강남구,헌릉로,4,70
강남구,삼성로,3,60
서대문구,성산로,1,50
구로구,오류로,1,30
마포구,마포대로24길,1,30
영등포구,여의대방로,1,30
강남구,테헤란로104길,1,10
노원구,동일로243길,2,60
강남구,테헤란로,4,50
강남구,강남대로,5,50
송파구,마천로,2,40
구로구,서해안로,3,50
금천구,가산디지털1로,2,40
도봉구,도당로,2,30
서대문구,경기대로,1,30
금천구,서부간선도로,2,60
서대문구,성산로,4,50
마포구,마포대로24길,1,30
광진구,뚝섬로,2,40
강남구,도곡로84길,1,50
중랑구,신내로21길,2,30
서초구,동작대로,4,50
성북구,종암로,4,50
서초구,서초대로64길,1,10
성동구,독서당로,2,40
구로구,가마산로,1,30
중구,수표로,1,30
노원구,동일로198길,1,30
성북구,성북로,1,30
서초구,청계산로9길,1,30
동작구,사당로2가길,1,30
영등포구,가마산로79길,1,30
서대문구,연희로,2,50
중랑구,면목천로,2,60
광진구,아차산로,2,50
동대문구,왕산로,3,60
중구,소공로,4,50
관악구,낙성대로3길,1,10
영등포구,올림픽대로,2,40
강서구,화곡로20길,1,30
광진구,강변북로,1,50
동작구,등용로14길,1,30
강서구,공항대로41길,2,30
강동구,명일로,1,40
강서구,양천로16길,1,30
구로구,경인로,3,50
강남구,남부순환로377길,1,30
강남구,밤고개로26길,1,30
서대문구,연희로,2,50
서초구,태봉로,3,50
영등포구,도림로,2,50
종로구,평창문화로,1,20
양천구,월정로,1,30
영등포구,선유서로,1,30
영등포구,올림픽대로,4,80
영등포구,여의대로,5,50
송파구,올림픽로4길,1,30
영등포구,영등포로,3,50
동작구,상도로,2,50
양천구,신정로,2,50
중랑구,신내로14길,1,30
노원구,동일로,3,50
노원구,덕릉로,3,50
영등포구,여의대방로,3,50
구로구,벚꽃로,2,50
양천구,목동중앙북로,2,30
영등포구,여의동로,2,50
중랑구,공릉로2나길,1,30
중랑구,신내로17길,1,30
성북구,보문로,2,50
강북구,한천로,3,50
강남구,언주로148길,1,30
은평구,백련산로,2,40
송파구,강동대로,5,50
은평구,서오릉로,3,50
은평구,역말로,1,30
양천구,국회대로,4,50
구로구,개봉로17길,1,30
종로구,종로,3,50
송파구,송파대로30길,1,30
성북구,보국문로29길,1,10
중랑구,신내로7길,1,30
관악구,낙성대로15길,1,40
서초구,분당내곡간도시고속화도로,2,80
구로구,경인로47길,1,10
송파구,위례중앙로,2,50
양천구,월정로,1,30
강남구,압구정로,3,50
도봉구,마들로11길,3,40
도봉구,도봉로181길,1,10
중랑구,사가정로42길,1,30
중랑구,면목로49길,1,30
노원구,동부간선도로,1,40
도봉구,해등로,2,30
영등포구,대방천로,2,30
은평구,진관2로,1,40
성동구,왕십리광장로,1,30
성북구,종암로,4,50
성동구,마장로,1,50
성동구,마장로,1,40
성동구,연무장길,1,30
마포구,독막로,2,50
마포구,삼개로,1,30
용산구,이촌로,1,50
노원구,동일로207길,1,30
성동구,고산자로,3,60
성동구,사근동길,1,30
노원구,상계로1길,1,30
노원구,동일로173길,1,30
노원구,월계로,3,50
서초구,동작대로,4,50
양천구,오목로3길,1,30
강남구,헌릉로570길,2,30
강남구,개포로,1,30
양천구,신월로,3,50
구로구,디지털로30길,1,30
강남구,압구정로29길,2,30
강서구,마곡동로4길,1,30
강남구,영동대로,7,50
송파구,위례성대로,4,50
중구,녹사평대로,2,50
구로구,서해안로,3,50
강서구,공항대로,1,60
종로구,성균관로,1,30
종로구,통일로8길,2,30
구로구,개봉로17길,1,30
광진구,강변북로,3,80
동작구,올림픽대로,1,40
성북구,정릉로,2,50
동작구,상도로,1,50
구로구,공원로,4,30
강동구,상암로3길,1,30
강북구,덕릉로,2,50
종로구,사직로8길,2,30
송파구,양재대로60길,1,30
서대문구,성산로,1,40
서초구,청계산로11길,1,30
성동구,광나루로,1,60
강동구,아리수로98길,2,30
송파구,올림픽로8길,1,30
중랑구,중랑천로,2,30
중랑구,공릉로2라길,1,30
구로구,고척로,2,30
관악구,난곡로,3,50
성북구,성북로4길,1,30
영등포구,도신로60길,1,30
강동구,성안로3길,1,30
양천구,남부순환로72길,2,30
서대문구,세검정로,2,50
성북구,한천로101길,1,10
동작구,대방동길,1,30
노원구,화랑로51가길,1,30
영등포구,국회대로,4,50
강서구,화곡로,3,50
영등포구,영중로,1,30
구로구,항동로2길,1,10
중구,다산로34길,1,30
강남구,선릉로,3,60
관악구,강남순환도시고속도로,1,30
동대문구,장한로28길,1,30
영등포구,오목로,3,50
송파구,올림픽대로,1,40
강남구,테헤란로8길,2,40
송파구,올림픽대로,1,40
강서구,양천로77길,1,30
강서구,마곡중앙6로,1,30
강서구,공항대로,3,60
강남구,압구정로79길,1,30
강남구,밤고개로21길,2,30
종로구,지봉로,1,30
강동구,상암로,2,30
노원구,동일로,3,50
중구,소공로,4,50
용산구,이촌로46길,3,50
성동구,광나루로,2,60
광진구,영동대로,3,60
금천구,범안로17길,1,30
영등포구,올림픽대로,4,80
강동구,양재대로89길,1,30
강남구,테헤란로,4,50
동대문구,답십리로,2,60
중랑구,숙선옹주로,2,30
강남구,도산대로46길,1,30
중랑구,상봉중앙로,2,30
금천구,가산디지털2로,2,40
강남구,올림픽로,4,50
강남구,학동로,3,50
강남구,봉은사로,3,50
영등포구,영신로,2,30
영등포구,올림픽대로,2,40
성동구,언주로,4,60
은평구,은평로11길,1,30
강남구,올림픽대로,1,40
마포구,독막로22길,1,10
동작구,성대로,1,30
강북구,노해로,1,30
동대문구,전농로,2,60
노원구,화랑로,1,30
중랑구,상봉중앙로,2,30
영등포구,여의대로6길,1,40
양천구,공항대로,4,50
동대문구,장한로,3,60
강서구,올림픽대로,1,40
강동구,진황도로,1,40
영등포구,영신로,3,60
구로구,공원로6가길,1,30
영등포구,영등포로,3,50
영등포구,신길로42길,1,30
송파구,송파대로6길,1,30
강동구,올림픽대로,1,50
강동구,양재대로.아리수로46길,1,30
구로구,남부순환로,2,50
도봉구,도봉로,3,50
용산구,한강대로,4,50
종로구,청계천로,2,50
강남구,삼성로75길,1,30
성동구,무학로,2,40
송파구,충민로6길,2,30
영등포구,영중로,1,40
용산구,청파로,1,50
동작구,매봉로6길,1,30
강서구,곰달래로35길,1,30
금천구,탑골로.인접길,1,30
도봉구,도봉산길,2,40
강동구,양재대로84길,1,30
서대문구,홍은중앙로,1,30
동대문구,전농로,2,60
양천구,은행정로5길,1,30
양천구,신목로,2,50
성북구,보문로32길,1,30
강남구,테헤란로,4,50
양천구,신정중앙로,2,30
구로구,개봉로17길,1,30
마포구,강변북로,4,80
서초구,효령로,3,50
성동구,한림말3길,1,30
양천구,신월로20길,1,30
서초구,사평대로,4,50
강남구,용인서울고속도로,2,60
구로구,오리로13길,1,30
관악구,난곡로,2,50
관악구,신림로,2,50
노원구,덕릉로,2,60
중구,다산로,2,60
노원구,동일로243길,1,40
노원구,동일로245가길,1,30
강동구,고덕로55길,1,30
종로구,종로.동순라길.사이길,1,30
성북구,정릉로9나길,1,30
송파구,양재대로62길,1,30
노원구,동일로231길,1,30
노원구,중계로10길,1,10
송파구,위례북로,1,30
금천구,범안로11길,1,30
노원구,상계로3길,1,50
강서구,금낭화로,2,30
영등포구,여의서로,2,40
마포구,강변북로,4,80
노원구,중계로,1,10
성동구,마장로46길,1,10
송파구,오금로46길,1,30
송파구,연화로.충민로.사이길,2,30
강서구,일반국도6호선,2,30
구로구,경서로7길,1,30
구로구,경서로11길,1,10
송파구,올림픽로33길,1,40
종로구,대사관로.삼청로.사이길,1,30
마포구,강변북로,4,70
마포구,월드컵북로,3,50
광진구,동일로,2,50
영등포구,도림로86길,1,30
송파구,정의로,2,30
중랑구,상봉로31길,2,30
서대문구,명물길,1,30
강남구,남부순환로,4,60
송파구,분당수서로,3,80
관악구,은천로,2,50
구로구,중앙로15길,1,30
강남구,선릉로,2,30
성북구,서경로,1,30
강남구,광평로20길,1,30
성북구,고려대로13길,1,40
강남구,논현로131길,1,30
송파구,성내천로,1,30
송파구,중대로8길,2,30
강북구,삼양로,3,50
동대문구,황물로,2,40
동대문구,동부간선도로,1,40
영등포구,신길로,1,50
송파구,오금로,3,50
양천구,목동동로,1,30
송파구,양재대로,4,50
노원구,광운로,2,40
도봉구,방학로,1,40
송파구,올림픽로37길,1,40
서초구,강남대로51길,1,30
성동구,고산자로,2,50
중랑구,세종포천고속도로,3,100
관악구,난곡로,3,50
영등포구,국회대로,4,50
마포구,독막로,3,50
강서구,마곡중앙로,1,30
강서구,강서로68길,1,30
노원구,동부간선도로,1,40
노원구,수락산로,1,30
강서구,가로공원로76길,1,30
강서구,양천로27길,2,30
영등포구,국제금융로,3,50
서초구,서초대로40길,1,40
강남구,압구정로33길,1,30
성북구,솔샘로,2,30
성북구,보문로32길,1,30
강남구,학동로,3,50
강동구,풍산로,2,60
서초구,분당내곡간도시고속화도로,4,80
송파구,새말로,2,40
노원구,동일로243길,2,60
은평구,진흥로,3,50
광진구,강변북로,1,50
강서구,허준로,2,30
관악구,광신길,1,30
중구,세종대로,4,50
중구,칠패로,3,50
중구,퇴계로,3,50
송파구,탄천동로,1,50
도봉구,마들로11길,1,40
송파구,잠실로,3,30
송파구,송이로32길,1,30
구로구,구일로,1,40
강서구,공항대로,3,50
강서구,마곡중앙8로1길,1,30
구로구,부일로,2,50
종로구,새문안로,3,50
송파구,올림픽로,3,50
서초구,효령로,3,50
성동구,뚝섬로,2,40
관악구,조원로17길,1,50
도봉구,도봉로,4,50
강남구,올림픽대로,1,40
중랑구,중랑역로,2,30
동대문구,종암로,4,50
강남구,밤고개로21길,1,30
중구,동호로,4,60
서초구,반포대로,3,50
송파구,양재대로,2,50
강남구,언주로171길,1,30
서대문구,연희로26길,1,60
중구,소공로,4,50
서초구,헌릉로422길,1,10
강동구,고덕로46길,1,30
은평구,연서로4길,1,30
동대문구,답십리로72길,1,30
금천구,한내로,3,30
광진구,뚝섬로66길,1,50
영등포구,경인로,4,60
마포구,백범로,2,30
용산구,녹사평대로26길,1,30
성북구,아리랑로,2,50
강서구,강서로68길,1,30
강동구,아리수로,3,50
성북구,동소문로,4,50
강동구,성안로3길,1,30
강서구,강서로5길,1,50
영등포구,신길로,2,50
은평구,은평터널로,1,30
은평구,대서문길,1,30
마포구,월드컵북로,2,50
마포구,방울내로,1,30
구로구,경인로,3,50
강남구,영동대로,7,60
용산구,청파로,3,50
중랑구,중랑역로,2,30
성동구,강변북로,1,40
영등포구,노들로,2,50
성북구,보국문로.인접길,1,30
관악구,호암로,2,40
서초구,동작대로,4,50
강남구,헌릉로718길,1,40
영등포구,선유서로,1,30
강서구,화곡로69길,1,30
강남구,논현로51길,1,30
마포구,강변북로,1,40
영등포구,도신로,2,50
강남구,압구정로42길,1,30
중구,동호로,4,50
중구,동호로,2,50
송파구,거마로,2,50
용산구,백범로,3,60
성동구,고산자로,3,50
중랑구,봉화산로,2,50
양천구,남부순환로,4,50
구로구,구일로,2,40
성북구,화랑로,3,60
성북구,대사관로11길,1,10
송파구,성내천로,2,40
서초구,서초중앙로2길,1,30
광진구,광나루로,2,50
마포구,강변북로,2,80
마포구,양화로,4,50
구로구,서해안로,3,50
서초구,서초중앙로,3,50
서초구,법원로,3,30
송파구,새말로,2,50
송파구,문정로,2,50
관악구,쑥고개로,2,50
강서구,양천로,1,30
동대문구,장안벚꽃로,2,50
강남구,동부간선도로,3,80
금천구,디지털로,3,50
금천구,범안로11길,1,30
광진구,긴고랑로,2,50
광진구,동일로72길,1,10
강서구,금포로,1,50
성북구,보문로,2,50
마포구,강변북로,5,90
종로구,종로,2,50
구로구,구로중앙로32가길,1,30
영등포구,양평로,2,50
영등포구,여의대방로,3,50
중랑구,신내로25가길,1,30
마포구,강변북로,4,80
성북구,종암로19길,1,30
강동구,동남로82길,1,40
서초구,신반포로,4,50
강동구,아리수로93가길,2,30
성동구,아차산로,3,50
양천구,신정로,3,50
중랑구,양원역로10길,1,30
중랑구,용마산로,2,50
송파구,위례북로,1,30
동작구,양녕로,2,30
구로구,공원로8길,1,30
서초구,고무래로,2,60
성동구,난계로,2,40
금천구,벚꽃로,1,40
중구,퇴계로,3,50
서대문구,세검정로1길,1,10
송파구,올림픽대로,1,40
관악구,은천로,2,50
광진구,자양로,3,50
양천구,목동중앙본로27길,1,30
중구,통일로,2,50
노원구,중계로,2,30
강동구,천호대로,4,50
강서구,마곡동로,1,30
구로구,경인로,3,50
서초구,매헌로,2,50
영등포구,가마산로79길,1,30
강서구,마곡동로,2,60
강서구,마곡중앙6로,1,30
금천구,강남순환도시고속도로,3,80
도봉구,마들로,2,50
노원구,덕릉로95길,1,50
구로구,구로중앙로28길,2,30
노원구,수락산로,1,30
양천구,남부순환로,4,50
은평구,통일로,3,60
서초구,경부고속도로,1,50
금천구,가산디지털2로,2,40
강서구,금낭화로17길,1,30
강서구,마곡중앙10로,1,30
강서구,마곡중앙8로5길,1,30
강북구,도봉로53길,1,10
서대문구,거북골로,1,40
구로구,고척로25길,1,10
마포구,강변북로,4,80
관악구,서림길,1,30
강북구,솔샘로,2,50
강남구,올림픽대로,1,40
노원구,동일로216길,1,30
금천구,가산로7길,1,30
종로구,청계천로,2,30
관악구,쑥고개로,2,50
관악구,문성로38길,1,10
서초구,헌릉로,4,50
서초구,양재대로12길,1,40
강서구,마곡중앙1로,1,30
강남구,밤고개로26길,1,30
강남구,올림픽대로,1,80
중구,동호로,3,50
중랑구,동일로,3,50
중구,마장로,2,40
중구,퇴계로,1,50
강남구,논현로,3,50
노원구,월계로,3,50
구로구,천왕로,2,50
서초구,잠원로,3,50
강서구,강서로,3,50
중구,다산로,2,50
마포구,상암산로,1,30
서초구,올림픽대로,5,80
강남구,남부순환로365길,1,30
영등포구,문래북로,2,40
강서구,양천로53길,1,30
용산구,청파로,3,50
용산구,새창로20길,1,30
중구,을지로,3,50
양천구,지양로,1,30
강서구,올림픽대로,1,40
강서구,개화동로,2,50
동대문구,왕산로,3,60
금천구,시흥대로50길,1,30
강동구,풍성로54길,1,30
마포구,성산로,4,50
강남구,논현로,1,50
강서구,안양천로,1,40
강동구,구천면로23길,1,10
영등포구,도림천로,3,50
동작구,올림픽대로,4,80
서초구,반포대로,3,50
구로구,개봉로,2,60
성북구,종암로,4,50
송파구,탄천동로,1,40
중구,마른내로,1,30
중랑구,양원역로10길,1,30
노원구,화랑로51가길,1,30
중랑구,신내로10길,1,30
관악구,쑥고개로16길,1,30
송파구,새말로,2,40
노원구,동일로,3,50
서대문구,충정로6길,1,30
강서구,강서로,3,50
광진구,뚝섬로34길,1,40
노원구,동일로,1,50
영등포구,여의공원로,1,30
강남구,영동대로4길,1,30
서초구,우면산로,2,50
강남구,도곡로,3,60
성동구,광나루로,3,60
용산구,원효로19길,1,30
서대문구,연희로,1,50
서대문구,세검정로1길,2,30
서대문구,내부순환도로,3,80
강남구,선릉로,2,60
강남구,논현로85길,1,30
도봉구,마들로14길,1,30
서대문구,경기대로,1,30
금천구,서부간선도로,1,50
노원구,동부간선도로,2,80
노원구,노원로1나길,1,30
서대문구,통일로48가길,1,10
양천구,목동동로2길,1,30
성북구,지봉로,2,40
서초구,방배로,2,30
영등포구,문래북로,2,40
동작구,여의대방로54길,1,10
강남구,영동대로106길,1,40
영등포구,선유로,2,50
양천구,중앙로,3,50
구로구,경인로,3,50
금천구,디지털로,1,50
도봉구,도봉로169가길,1,30
서초구,방배로,1,30
성북구,고려대로,2,50
구로구,고척로27길,1,10
강남구,논현로,3,60
서초구,헌릉로8길,1,30
동작구,서달로15길,1,10
영등포구,여의대로,3,60
마포구,양화로,4,50
중랑구,동일로,3,50
중구,남대문로,2,50
구로구,구로동로,2,50
강남구,개포로,2,40
송파구,올림픽선수촌아파트내부길,1,10
관악구,서림길,1,30
구로구,서해안로26길,1,10
양천구,목동남로4길,1,30
서초구,사평대로,2,50
중랑구,면목로,2,50
노원구,동일로,2,50
중랑구,봉화산로45길,1,30
은평구,서오릉로,3,50
은평구,갈현로3나길,1,30
은평구,연서로3길,1,30
종로구,세종대로,6,50
종로구,사직로8길,3,30
용산구,원효로48길,1,30
강남구,언주로114길,1,30
관악구,문성로38길,1,10
서초구,반포대로,4,50
강동구,올림픽로98길,1,40
중구,통일로.통일로4길사이길,1,30
용산구,새창로8길,1,30
강남구,언주로153길,1,30
강동구,동남로,3,50
강남구,남부순환로395길,1,40
송파구,성내천로,1,30
송파구,동남로,3,50
구로구,시흥대로,5,50
관악구,봉천로,2,50
금천구,시흥대로,5,50
성동구,자동차시장길,1,50
은평구,은평터널로,1,30
강동구,올림픽로,2,50
